C1,C2,C3,ISO,Target
2190,0,260,AU,false
2544,0,446,AU,false
3849,0,134,AU,false
1038,0,547,AU,false
5699,0,183,AU,false
1770,0,564,AU,false
1676,0,63,AU,false
1539,0,133,AU,false
1841,0,963,AU,false
2809,0,107,AU,false
2273,0,361,AU,false
867,0,895,AU,false
4390,0,770,AU,true
3093,0,583,CA,true
1817,0,143,AU,false
3832,0,475,AU,false
1016,0,752,AU,false
1667,0,13,AU,false
1296,0,487,AU,false
856,0,132,AU,false
2866,0,129,AU,false
3182,0,278,AU,false
3007,0,125,AU,false
1392,0,878,AU,false
2117,0,565,AU,false
4196,1723,830,TH,false
9272,0,700,AU,true
2484,0,836,AU,false
2818,0,577,AU,false
3901,0,456,AU,false
1981,0,465,AU,false
1924,0,735,CY,false
3707,0,791,AU,false
1791,0,419,AU,false
17884,0,853,AU,true
1213,0,433,AU,false
2392,0,552,AU,false
1053,0,606,AU,false
1451,0,545,AU,true
4068,0,901,AU,false
1408,0,216,AU,false
2915,0,3,AU,false
1867,0,123,AU,false
1031,0,305,AU,false
809,0,688,AU,false
1038,0,336,AU,false
2818,0,188,AU,false
1591,0,559,AU,true
2005,0,930,AU,false
1356,0,639,AU,false
2197,0,770,AU,false
2076,0,880,AU,false
6012,2813,799,GB,true
1849,0,271,NZ,false
1849,0,958,NZ,false
1715,0,763,NZ,false
2340,0,875,AU,false
5652,0,767,AU,false
23099,0,709,AU,false
1399,0,572,NZ,false
18238,399,483,US,false
9339,399,42,US,false
2397,0,446,AU,false
9820,0,109,AU,false
6937,0,60,AU,false
6436,0,158,AU,false
3499,0,471,NZ,false
5599,0,525,NZ,false
2549,0,740,NZ,false
3762,0,335,AU,false
7059,0,715,RU,false
5387,0,565,NZ,false
945,0,309,US,false
3494,0,797,US,true
1078,0,364,US,true
5054,0,743,US,false
1303,0,852,US,false
1284,0,500,US,false
1117,217,840,CA,true
4778,0,472,US,false
7349,399,404,US,true
3050,399,430,PR,false
1472,0,536,US,false
1785,0,329,US,false
871,0,432,US,false
733,0,258,US,false
1050,0,6,US,false
1216,0,793,US,false
871,0,26,US,false
983,0,365,US,false
5499,0,697,US,false
1673,0,967,US,false
2018,0,113,US,false
2384,0,439,US,false
1546,0,328,US,false
1645,0,283,US,false
1191,0,423,US,false
2064,0,492,US,false
4637,0,546,AU,false
1947,0,959,AU,false
2789,0,303,AU,false
1839,0,136,AU,false
4569,0,859,AU,false
2091,0,97,AU,false
2193,0,128,AU,false
7468,0,555,AU,false
3435,0,396,AU,false
1004,0,540,MT,false
2195,0,696,AU,false
19646,0,375,AU,false
5240,0,857,AU,false
2703,0,908,AU,false
1569,0,550,AU,false
1817,0,282,CA,false
2819,0,414,AU,false
6592,2374,340,CA,false
959,0,729,CA,false
